Username,Chapter.ID,factId,exam.Q,multiple_choice,reps.study,PC.study,final.alpha,studied,correct.exam
anon-001,_118_1,_2880_1,Q11,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_119_1,_2904_1,Q11,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_120_1,_2926_1,Q15,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_121_1,_2960_1,Q15,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_120_1,_2929_1,Q16,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_121_1,_2963_1,Q16,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_123_1,_2999_1,Q18,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_122_1,_2991_1,Q18,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_112_1,_2744_1,Q2,FALSE,1,1,0.3,Studied,TRUE
anon-001,_113_1,_2771_1,Q2,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_124_1,_3019_1,Q22,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_125_1,_3034_1,Q22,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_124_1,_3007_1,Q23,FALSE,NA,NA,NA,Not studied,TRUE
anon-001,_125_1,_3022_1,Q23,TRUE,NA,NA,NA,Not studied,TRUE
anon-001,_126_1,_3044_1,Q26,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_127_1,_3074_1,Q26,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_128_1,_3104_1,Q30,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_129_1,_3126_1,Q30,TRUE,NA,NA,NA,Not studied,FALSE
anon-001,_128_1,_3097_1,Q31,FALSE,NA,NA,NA,Not studied,FALSE
anon-001,_129_1,_3118_1,Q31,TRUE,NA,NA,NA,Not studied,FALSE
anon-002,_118_1,_2880_1,Q11,FALSE,NA,NA,NA,Not studied,TRUE
anon-002,_119_1,_2904_1,Q11,TRUE,NA,NA,NA,Not studied,TRUE
anon-002,_120_1,_2926_1,Q15,FALSE,NA,NA,NA,Not studied,FALSE
anon-002,_121_1,_2960_1,Q15,TRUE,NA,NA,NA,Not studied,FALSE
anon-002,_120_1,_2929_1,Q16,FALSE,NA,NA,NA,Not studied,FALSE
anon-002,_121_1,_2963_1,Q16,TRUE,NA,NA,NA,Not studied,FALSE
anon-002,_123_1,_2999_1,Q18,TRUE,25,1,0.6222656250000002,Studied,TRUE
anon-002,_122_1,_2991_1,Q18,FALSE,NA,NA,NA,Not studied,TRUE
anon-002,_112_1,_2744_1,Q2,FALSE,12,0.6666666666666666,0.19999999999999998,Studied,TRUE
anon-002,_113_1,_2771_1,Q2,TRUE,4,1,0.34921875,Studied,TRUE
anon-002,_124_1,_3019_1,Q22,FALSE,NA,NA,NA,Not studied,TRUE
