User,Grade
anon-130,8
anon-124,7.5
anon-045,6.5
anon-138,5
anon-032,6.5
anon-003,7
anon-074,2.5
anon-128,8
anon-088,8.5
anon-025,4
anon-019,9
anon-022,5
anon-026,7.5
anon-082,8
anon-029,6
anon-060,9
anon-017,6.5
anon-119,7.5
anon-041,6.5
anon-095,7.5
anon-027,7
anon-049,7.5
anon-002,4.5
anon-043,9
anon-068,8.5
anon-109,6
anon-075,7.5
anon-107,4
anon-034,8.5
anon-100,3.5
anon-126,7
anon-081,6
anon-050,6.5
anon-086,9
anon-104,7.5
anon-006,7.5
anon-011,6.5
anon-078,7
anon-125,8.5
anon-057,8
anon-013,9
anon-121,8
anon-046,3.5
anon-024,5
anon-063,6.5
anon-007,4
anon-105,7
anon-099,4.5
anon-054,7
anon-134,9
anon-004,7.5
anon-111,6
anon-091,8
anon-083,8.5
anon-051,5
anon-079,8
anon-103,6.5
anon-087,7
anon-097,9
anon-137,7
anon-077,8.5
anon-123,7.5
anon-059,6.5
anon-030,7.5
anon-090,7
anon-039,6.5
anon-008,7.5
anon-033,7
anon-038,8
anon-053,6.5
anon-114,9
anon-098,7.5
anon-009,6.5
anon-089,8.5
anon-018,5
anon-116,8
anon-070,7
anon-133,9
anon-115,4
anon-048,7
anon-073,9
anon-044,6
anon-135,3.5
anon-108,7.5
anon-020,6.5
anon-096,2.5
anon-012,8
anon-037,4.5
anon-014,6.5
anon-047,4.5
anon-106,1.5
anon-055,9.5
anon-120,4.5
anon-001,3.5
anon-112,6
anon-023,2.5
anon-058,4
anon-056,6
anon-071,6
anon-076,4.5
anon-117,4.5
anon-093,7.5
anon-129,7.5
anon-084,9.5
anon-031,6
anon-122,7.5
anon-085,6
anon-072,7
anon-110,6
anon-016,5
anon-040,8.5
anon-061,8.5
anon-021,6
anon-042,8.5
anon-062,7
anon-113,6
anon-080,4.5
anon-035,9.5
anon-015,6.5
anon-067,7.5
anon-118,7.5
anon-005,6
anon-065,6.5
anon-092,6
anon-066,5
anon-052,3.5
anon-028,2.5
anon-136,8.5
anon-131,6
anon-069,8
anon-127,5
anon-094,6.5
anon-036,9
anon-010,2
anon-132,7.5
anon-102,6
anon-101,10
anon-064,8.5
